Perfume,Brand,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
amazon-lily,nest,"lime, tangerine, bergamot",lily,"white musk, driftwood",citrus,white floral,woody,musky,unknown
glamour-fantasy,bourjois,"macarons, sour cherry, raspberry","big strawberry, jasmine sambac",patchouli,sweet,fruity,cherry,almond,unknown
cafe-green,cafe-parfums,"bergamot, mandarin orange, pear, peach","tea, jasmine, rose","musk, virginia cedar",citrus,green,fresh spicy,musky,white floral
dana,verset-parfums,grapefruit,ylang-ylang,benzoin,citrus,amber,warm spicy,yellow floral,fresh spicy
dream,la-rive,red apple,"orange blossom, white flowers","vanilla, sandalwood, olive tree",white floral,woody,vanilla,powdery,sweet
apparition-pink,emanuel-ungaro,"yuzu, pink pepper, pear","rose, raspberry, hyacinth","iris, sandalwood",rose,sweet,fruity,citrus,floral
pink-breeze,al-rehab,"floral notes, sweet notes","magnolia, tuberose, raspberry, freesia, coconut, strawberry, cherry, custard","musk, vanilla, honey",floral,sweet,fruity,tuberose,musky
avon-beautiful-butterfly,avon,"green apple, nectarine, lemon","lily-of-the-valley, gardenia, jasmine","musk, woodsy notes, madagascar vanilla",white floral,fresh,fruity,green,citrus
lush-fleur,clean,"raspberry, bergamot, mandarin orange","damask rose, jasmine, gardenia","musk, moss, vanilla, amber",rose,citrus,musky,white floral,fruity
kriska,natura,"peach, plum, apricot, pineapple, blackberry, orange blossom, cardamom, galbanum, osmanthus, cassis, bergamot, green notes","carnation, tuberose, ylang-ylang, rose, lily, gardenia, jasmine, hyacinth, freesia, lily-of-the-valley","vanilla, amber, benzoin, musk, tonka bean, sandalwood, patchouli, cedar, vetiver",fruity,white floral,sweet,floral,vanilla
l-air-du-temps-cristal-d-or,nina-ricci,"carnation, brazilian rosewood, rose, bergamot, neroli, peach","carnation, ylang-ylang, gardenia, cloves, jasmine, rose, violet, orris root, rosemary, orchid","oakmoss, musk, benzoin, iris, vetiver, amber, spices, cedar, sandalwood",woody,warm spicy,floral,powdery,white floral
city-jungle,oriflame,"metallic notes, coconut milk, kiwi","water lily, peach, freesia, orange blossom","milk, musk, sandalwood, woody notes",lactonic,metallic,coconut,sweet,fruity
love,desigual,"black currant, blueberry","orange, grapefruit, benzoin","praline, tonka bean, sandalwood",sweet,fruity,citrus,woody,amber
brillant-nuage-d-or,brocard,"pear, melon, bergamot","freesia, lily-of-the-valley, tuberose","musk, virginian cedar, vanilla",white floral,floral,fresh,fruity,aquatic
cristal,faberlic,"pink pepper, bergamot, green apple, black currant, orange","earl grey tea, lily, jasmine, rose, mango, apricot, iris","patchouli, sandalwood, ambergris, white musk, vanilla",woody,fruity,white floral,green,patchouli
bel-ange,faberlic,"litchi, bergamot","cranberry, red currant, cherry blossom, lily-of-the-valley, magnolia, iris","musk, cedar, palisander rosewood, amber, cashmere wood",fruity,fresh,floral,citrus,woody
collection-privee-alizes,faberlic,"lavender, cardamom, basil, tangerine","water lily, lotus, hibiscus","clary sage, amber, heliotrope, labdanum",floral,aromatic,aquatic,lavender,warm spicy
mimosa-cologne,czech-speake,"ylang-ylang, geranium","jasmine, mimosa","benzoin, clove",yellow floral,white floral,floral,sweet,powdery
raven,ellis-brooklyn,"rhubarb, mandarin orange","peony, pink lotus","patchouli, white woods, musk",woody,patchouli,floral,warm spicy,musky
optimistic-for-her,paul-smith,"grapefruit, pink pepper, red berries","cranberry, litchi, sweet pea","macarons, raspberry, orris",fruity,sweet,citrus,fresh spicy,unknown
apple-temptation,women-secret,"apple, cucumber, melon, black currant","rose, lily-of-the-valley",sandalwood,fruity,fresh,ozonic,aquatic,green
rock-princess-2023,vera-wang,"peach, ylang-ylang, lily of the valley","damask rose, sandalwood, night blooming jasmine","amber, musk, vanilla",powdery,woody,sweet,amber,white floral
c-thru-coral-dream,sarantis,"wormwood, juniper berries, pepper","rose, violet","woody notes, amber, vanilla, sandalwood",fresh spicy,aromatic,woody,rose,powdery
heidi-klum,lr,"geranium, bergamot, mandarin orange","nutmeg, iris, jasmine","vetyver, patchouli, tonka bean, sandalwood, vanille",fresh spicy,aromatic,woody,warm spicy,earthy
fcuk-connect-her,fcuk,"lotus, bergamot, lily-of-the-valley","jasmine, peony, violet","sandalwood, amber, musk, virginia cedar",woody,floral,powdery,white floral,amber
boss-alive-eau-de-toilette,hugo-boss,"mandarin orange, apple, magnolia, lemon","jasmine sambac, clary sage, may rose","sandalwood, cedar, moss",citrus,woody,floral,fruity,white floral
cuide-se-bem-bubbaloo-tutti-frutti,o-boticario,"cotton candy, mandarin orange","bubbaloo, strawberry, peach, jasmine","vanilla, milk, musk, amberwood",sweet,fruity,vanilla,powdery,caramel
itisdream,salvador-dali,"grapefruit, black currant, red apple","rose, magnolia, hyacinth","cedar, musk, amber",floral,rose,citrus,fruity,woody
sheer-tiffany,tiffany,"blood orange, tangerine, clementine","lily-of-the-valley, water hyacinth, magnolia, jasmine, peony",musk,floral,white floral,citrus,fresh,green
flirty-bella,oriflame,"lemon peel, basil, ginger","blackberry, lily-of-the-valley, jasmine","cedar, patchouli",citrus,aromatic,fresh spicy,fresh,green
ex-cla-ma-tion-blush,coty,"tagetes, violet leaf, mandarin orange, bergamot","lily, jasmine, lilac, ylang-ylang","cedar, musk, vetiver, amber, sandalwood",white floral,aromatic,woody,floral,balsamic
her-secret-game,antonio-banderas,"mandarin orange, pineapple, strawberry, raspberry, bergamot","green leaves, jasmine, tuberose, gardenia","patchouli, sandalwood, musk",fruity,white floral,green,sweet,citrus
love-forever-green,bi-es,"green notes, water notes, fruity notes","lily-of-the-valley, tuberose, jasmine","musk, amber, sandalwood",green,white floral,fresh,aquatic,fruity
gianmarco-venturi-femme,gianmarco-venturi,fruits,flowers,"powdery notes, woodsy notes",powdery,woody,floral,fruity,sweet
freesia-d-or,maitre-parfumeur-et-gantier,"african orange flower, ylang-ylang","freesia, jasmine, tonka bean, iris","musk, vetiver, amber",white floral,floral,sweet,yellow floral,woody
julia,teo-cabanel,"rhuburb, black currant, mandarin orange","hyacinth, violet, jasmine","raspberry, musk, sandalwood, labdanum, incense",fruity,green,floral,powdery,sweet
be-st,sergio-tacchini,"black currant, bergamot, green apple","lilac, peony, pink pepper, jasmine","musk, vetiver",floral,fresh,fruity,soft spicy,green
with-you,sergio-tacchini,"pink grapefruit, petitgrain, mandarin orange","syringa, rose, freesia","cedar, musk, white amber",citrus,white floral,woody,rose,floral
delicious-sensations-caramapple,avon,caramel,green apple,lily,caramel,fruity,fresh,green,sweet
rare-onyx,avon,"dark plum wu mei, neroli, apricot","rose, lotus, mimosa","musk, amber, vanilla",musky,powdery,amber,vanilla,animalic
l-eau-kenzo-pour-femme-sunlight-edition-limitee,kenzo,lemon,"osmanthus, lotus",cedar,floral,fruity,woody,aquatic,citrus
charlie-black,revlon,"mandarin orange, cherry, litchi","almond, caramel","musk, amber, coumarin, vanille, heliotrope",sweet,almond,vanilla,citrus,fruity
dare-to-shine,oriflame,"pear, raspberry, pink pepper","tiare flower, jasmine sambac, heliotrope","vanilla, sandalwood, amber",fruity,sweet,white floral,vanilla,powdery
kokete-2,dzintars,"peach, lily of the valley, water lily","melon, rose, hyacinth","amber, ozonic notes, iris",green,aquatic,marine,white floral,ozonic
so-essential,angel-schlesser,"pomegranate, mandarin orange, kiwi","sweet pea, rose, nectarine","musk, patchouli",fruity,sweet,floral,woody,rose
promenade,faberlic,"sea water, lotus, mandarin orange, freesia","lily, peony, white rose, cloves","white musk, cedar",floral,marine,aquatic,aromatic,citrus
boom-couture,faberlic,"strawberry, wild strawberry, blackberry, bergamot","vanilla orchid, tiare flower, freesia","musk, cedar",fruity,sweet,floral,woody,unknown
gracefl,faberlic,lime,"freesia, peony, lily-of-the-valley, juniper","musk, cedar, amber",floral,fresh,citrus,woody,aromatic
iceberg-effusion-woman,iceberg,"grapefruit, passionfruit, kiwi","nutmeg, freesia, cardamom, jasmine, violet, rose","cedar, sandalwood, musk, vanilla",woody,citrus,fresh spicy,powdery,floral
just-me,paris-hilton,"pink pepper, raspberry, violet, bergamot","white rose, freesia, iris, lily-of-the-valley, ylang-ylang","woodsy notes, sandalwood, musk, tahitian vanilla",woody,sweet,powdery,floral,rose
w-eau-sunset,women-secret,"mandarin orange, mint, grapefruit, bergamot","tropical fruit, lily-of-the-valley, jasmine","amber, sandalwood, virginia cedar",citrus,tropical,fruity,fresh,green
high-street-midnight,armaf,"blood orange, citruses","osmanthus, magnolia, honeysuckle","cashmere wood, musk, amber",citrus,floral,fruity,musky,amber
today-tomorrow-always-in-love-2016,avon,"carambola (star fruit), neroli, pomegranate","water lily, tulip, peony, pink pepper, tuberose, gardenia","musk, amber, woody notes",floral,fresh,musky,white floral,aquatic
pink-extasy,montale,"tangerine, orange, black pepper","turkish rose, iris, orange blossom, jasmine","raspberry, white musk, vanilla, peach",fruity,sweet,powdery,citrus,rose
stars,moschino,"citron, peony, may rose","lily-of-the-valley, jasmine, orange blossom","driftwood, vetiver, ambroxan, amber",white floral,fresh,citrus,floral,rose
solar,oriflame,"caviar, watermelon, acai berry, citruses","guava, passion flower, peony","hibiscus, musk, patchouli",fruity,savory,ozonic,animalic,aquatic
akords,dzintars,"basil, lemon","rose, ylang-ylang, lily","ambrette (musk mallow), tonka bean",rose,aromatic,floral,fresh spicy,yellow floral
supergirl,faberlic,"litchi, lime","rose, peony, black currant, freesia, forest fruits","musk, woody notes",floral,rose,fruity,fresh,citrus
cuba-cactus,cuba-paris,green accord,oriental flower notes,spicy notes,floral,green,unknown,unknown,unknown
les-petites-folies-20-15,lulu-castagnette,"pear, almond blossom, bergamot","almond, iris, peony","musk, amber, woodsy notes",almond,fruity,sweet,floral,iris
c-thru-wanderlust-dream,sarantis,"bergamot, melon, red currant","jasmine, cyclamen","patchouli, white musk, vanilla",fresh,fruity,citrus,floral,white floral
magnolia,l-erbolario,"galbanum, chamomile, citruses, lavender","magnolia, white flowers, jasmine, lily-of-the-valley, rose","sandalwood, musk",floral,white floral,citrus,green,aromatic
ocean-dream-coral,giorgio-beverly-hills,"tangerine, sichuan pepper, bergamot","orchid, stephanotis, hyacinth","praline, musk, woodsy notes",citrus,fresh spicy,sweet,floral,white floral
riviera-goddess,avon,"peach, mandarin orange",floral notes,"patchouli, musk",white floral,citrus,woody,sweet,powdery
musk-butterfly,by-kilian,"aldehydes, damask rose, turkish rose, geranium","violet, violet leaf","ambrette (musk mallow), sandalwood",aldehydic,rose,floral,fresh,aromatic
all-of-me,narciso-rodriguez,magnolia,"rose, bourbon geranium","musk, sandalwood",rose,floral,musky,powdery,woody
w,ted-baker,"african violet, parma violet, fig leaf, peony","cassis, raspberry, orchid","cedar, vanilla",fresh,floral,green,fruity,woody
dazzling-grace,oriflame,"citruses, mandarin orange","white flowers, magnolia","patchouli, exotic woods",citrus,white floral,woody,floral,patchouli
miss-happy,oriflame,orange blossom,mirabelle plum,cedar,white floral,woody,fruity,sweet,citrus
sexy-ruby,michael-kors,"raspberry, apricot","rose petals, jasmine sambac",cashmere wood,fruity,rose,sweet,white floral,woody
incognito,faberlic,"quince, apple, bergamot, clementine, lemon, raspberry leaf","jasmine, rose, honeysuckle, peach blossom","musk, amber, sandalwood",fruity,floral,white floral,citrus,sweet
harajuku-lovers-snow-bunnies-music,harajuku-lovers,"clementine, pear","sweet pea, honeysuckle, jasmine","vanilla, musk",sweet,white floral,floral,fruity,citrus
reve-de-bahia,id-parfums,"lime, sugar cane, lemon peel, bitter orange","coconut nectar, lily, jasmine sambac","vanilla, exotic woods",citrus,sweet,vanilla,coconut,white floral
forever-touche-d-argent,laura-biagiotti,"pear, algae, pink pepper, black currant, sicilian bergamot, co2 extracts","caramel, peony, tuberose, lily-of-the-valley, iris","musk, vanilla, tonka bean, oakmoss",sweet,vanilla,musky,fruity,fresh
maui,mcmc-fragrances,"star anise, ginger","frangipani, tuberose, bamboo",sea water,floral,anis,soft spicy,warm spicy,tuberose
nike-azure-woman,nike,"pear, cherry, plum, mandarin orange","peony, gardenia, orange blossom","vanilla, walnut, musk, sandalwood",fruity,sweet,cherry,citrus,white floral
outspoken-fresh,avon,"guava, peach, litchi","orange blossom, magnolia, jasmine","iris, sandalwood, leather",fruity,tropical,white floral,floral,powdery
eternity-aromatic-essence,calvin-klein,"aqual, lavender, ambrette, lime","salt, coconut water, peony, black currant",sandalwood,coconut,floral,lavender,woody,sweet
peace-love-and-juicy-couture,juicy-couture,"hyacinth, cassis, red apple, amalfi lemon","red poppy, lime (linden) blossom, honeysuckle, jasmine, magnolia","musk, patchouli, orris root",floral,green,fruity,sweet,powdery
flower-by-kenzo-summer-fragrance-2006,kenzo,"citruses, bergamot","gardenia, pink pepper, bulgarian rose","vanilla, white musk, benzoin",vanilla,musky,white floral,powdery,amber
aire-sensual,loewe,"lemon, petitgrain, green apple, mandarin orange","freesia, lily-of-the-valley, jasmine","musk, vetiver, cedar, amber",citrus,white floral,musky,floral,fresh
darcy,parfums-de-marly,"citruses, orange, lemon","rose, jasmine","patchouli, sweet notes, white musk, woody notes",citrus,patchouli,woody,sweet,rose
ming-shu,yves-rocher,"sea notes, peach","water lily, lotus","musk, cedar, sandalwood, vanilla",floral,aquatic,marine,fresh,aromatic
secrets-d-essences-iris-noir-eau-fraiche,yves-rocher,"bergamot, pink pepper, mandarin orange","iris, ambrette (musk mallow)","patchouli, tonka bean",iris,citrus,powdery,earthy,woody
diavolo-extremely-woman,antonio-banderas,grapefruit,violet,sandalwood,woody,powdery,citrus,violet,warm spicy
glam-star,custo-barcelona,"pear, tangerine, bergamot","jasmine, raspberry, musk, big strawberry, black currant","vanilla, sandalwood, patchouli, cedar",fruity,sweet,woody,citrus,white floral
nude-silk,kkw-fragrance,"green leaves, cassis, bergamot","peach, honeysuckle, peony","solar notes, white wood, musk",fruity,green,white floral,woody,aromatic
niagara,parfums-genty,"sea notes, lime, watermelon, bergamot","ylang-ylang, peach, jasmine, rose","musk, cedar",citrus,marine,aromatic,aquatic,musky
kn0ii,korloff-paris,"peach, pineapple, grapefruit, mandarin orange","iris, white flowers, vetiver","vanilla, tonka bean, sandalwood, musk",powdery,vanilla,iris,sweet,woody
made-for-women,bruno-banani,"blackberry, tea","red berries, peach, violet, iris","raspberry, water notes, amber",fruity,sweet,fresh,aquatic,unknown
instinct-for-her,avon,green notes,camelia,sandalwood,green,powdery,floral,woody,lactonic
simply-her,avon,orange,lily,cedar,white floral,citrus,woody,soft spicy,sweet
cherry-mousse,avon,"strawberry, ice cream, pomelo, rosa rubiginosa","blood orange, coconut, violet",musk,sweet,citrus,fruity,coconut,vanilla
perceive,avon,"yellow freesia, white pepper","pear, carnation, damask plum, ylang-ylang","musk, sandalwood, vanilla orchid, cedar",floral,fruity,sweet,fresh spicy,warm spicy
loud-for-her,tommy-hilfiger,litchi,rose,patchouli,rose,patchouli,woody,fruity,warm spicy
desir-de-nature,yves-rocher,"mint, mandarin orange",lily-of-the-valley,"oakmoss, juniper",white floral,aromatic,green,mossy,fresh spicy
b-united-jeans-woman,benetton,"aldehydes, mandarin orange, peach","hiacynth, cyclamen, jasmine","musk, sandalwood, ambergris",floral,aldehydic,fresh,green,musky
mexx-cocktail-summer-woman,mexx,"freesia, red currant, grapefruit","rose, apple, lily-of-the-valley","peach blossom, palisander rosewood, amber",floral,fruity,rose,fresh,amber
madonna,antonio-maretti,"peach, lemon, red fruits","peony, violet, green tea","musk, dry wood, sandalwood",fruity,musky,fresh,floral,powdery
diamond-kim,kkw-fragrance,"green leaves, ginger, sugar, artemisia","orange blossom, ylang-ylang, champaca","white flowers, white musk, solar notes, coconut milk",white floral,sweet,yellow floral,floral,musky
silver-light,linn-young,"cotton candy, jasmine, coconut, bergamot, cassis, melon, mandarin orange","honey, apricot, jasmine, plum, peach, orchid, lily-of-the-valley, red berries, rose, blackberry","patchouli, caramel, dark chocolate, amber, vanilla, tonka bean, musk",sweet,patchouli,caramel,warm spicy,woody
